-2789.72, 1103.38
2297.37, -1929.27
-2997.62, -119.59
1941.57, 2286.99
272.87, -2987.56
2062.81, 2178.26
-2710.93, 1284.85
1789.58, 2407.78
136.72, -2996.88
-1638.48, -2513.04
2947.24, -560.15
-1069.51, -2802.88
-1001.08, -2828.05
1983.28, -2250.91
2969.16, -429.05
1442.39, 2630.50
2666.42, 1374.85
-2420.34, 1772.55
2621.71, -1458.30
2574.07, -1540.84
2557.29, -1568.53
-2146.37, -2095.98
2463.86, -1711.55
2827.35, 1003.05
-2532.85, 1607.69
1553.74, -2566.30
-2179.41, -2061.59
1791.66, -2406.23
-2068.60, -2172.76
1596.78, 2539.74
-1234.10, 2734.41
688.62, 2919.90
-2533.02, 1607.43
-497.02, 2958.54
-738.25, 2907.75
2037.72, 2201.75
-2189.32, 2051.07
-2999.15, 71.55
-2228.73, -2008.18
-2330.04, -1889.68
-511.44, -2956.08
-1848.01, 2363.23
-1957.03, -2273.77
-1592.94, 2542.15
2172.73, -2068.64
2874.92, -857.24
1512.56, -2590.79
874.76, 2869.63
-1148.86, 2771.30
2964.01, 463.29
886.88, 2865.91
2163.94, -2077.82
2559.72, 1564.55
-904.25, -2860.48
-2876.38, 852.30
-2983.35, -315.63
212.91, -2992.44
-2929.79, -645.22
-1094.20, 2793.34
2709.87, 1287.09
1765.30, 2425.64
1493.84, -2601.62
1785.73, -2410.64
549.27, 2949.29
2552.56, 1576.21
2880.74, 837.47
2253.45, 1980.40
-1410.19, 2647.90
2988.32, -264.42
2984.60, -303.57
1165.32, -2764.42
-2481.57, 1685.77
-2961.37, -479.89
2011.07, -2226.11
-900.89, -2861.54
1686.36, -2481.17
-2691.65, 1324.77
-2088.91, -2153.24
2389.76, -1813.58
1402.26, 2652.11
1954.45, -2275.99
-1204.33, 2747.65
2907.74, 738.28
-2118.01, 2124.62
-1940.88, -2287.57
-2759.42, -1177.12
-2881.09, 836.26
-2999.52, -53.53
2431.85, 1756.73
-1356.88, 2675.61
-2514.76, -1635.84
1871.76, -2344.47
-2559.38, 1565.11
2883.19, -829.00
-2373.15, -1835.26
2305.99, -1918.96
-983.72, -2834.13
-2966.51, -447.03
-1715.93, 2460.81
-2688.91, -1330.32
